artists,id,name,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,analysis_url,duration_ms,time_signature
Carola,2ZSY333GqEbNJuwARF1KbV,Invincible,0,spotify:track:2ZSY333GqEbNJuwARF1KbV,0.535,0.941,6,-3.593,1,0.0431,0.000823,1e-05,0.038,0.568,131.039,audio_features,https://api.spotify.com/v1/audio-analysis/2ZSY333GqEbNJuwARF1KbV,180987,4
Martin Stenmarck,0o4xWaEA9oS1wUM5UVODdR,Las Vegas,0,spotify:track:0o4xWaEA9oS1wUM5UVODdR,0.588,0.916,3,-3.707,0,0.0409,0.00119,0.0,0.337,0.722,128.016,audio_features,https://api.spotify.com/v1/audio-analysis/0o4xWaEA9oS1wUM5UVODdR,185173,4
Lena Philipsson,6GsfMZzKZaUXlhDkZRuLe9,It Hurts,20,spotify:track:6GsfMZzKZaUXlhDkZRuLe9,0.685,0.946,11,-4.075,1,0.0283,0.0066,2.74e-05,0.0728,0.754,127.008,audio_features,https://api.spotify.com/v1/audio-analysis/6GsfMZzKZaUXlhDkZRuLe9,182600,4
Fame,2B60fzEh2F9Ds6xFtV8LWd,Give Me Your Love,42,spotify:track:2B60fzEh2F9Ds6xFtV8LWd,0.57,0.91,2,-4.837,1,0.0512,0.0201,0.0,0.0955,0.578,132.032,audio_features,https://api.spotify.com/v1/audio-analysis/2B60fzEh2F9Ds6xFtV8LWd,182320,4
Afro-Dite,28ihA2Fp5zRmcmi8hpfWiC,Never Let It Go,41,spotify:track:28ihA2Fp5zRmcmi8hpfWiC,0.71,0.93,3,-5.537,0,0.0487,0.259,0.0,0.356,0.768,137.966,audio_features,https://api.spotify.com/v1/audio-analysis/28ihA2Fp5zRmcmi8hpfWiC,182307,4
Friends,4tLsZwIvw2kAzJm58ozxJP,Listen to Your Heartbeat,27,spotify:track:4tLsZwIvw2kAzJm58ozxJP,0.601,0.864,1,-2.635,0,0.0383,0.0608,0.0,0.243,0.561,136.961,audio_features,https://api.spotify.com/v1/audio-analysis/4tLsZwIvw2kAzJm58ozxJP,187093,4
Roger Pontare,27L4okgASeyUAzZ7etleyQ,When Spirits Are Calling My Name,30,spotify:track:27L4okgASeyUAzZ7etleyQ,0.534,0.85,7,-3.004,0,0.0613,0.0539,1.7e-06,0.278,0.47,122.798,audio_features,https://api.spotify.com/v1/audio-analysis/27L4okgASeyUAzZ7etleyQ,182813,4
Charlotte Perrelli,4omWhsNIPxarzpBgMsWBmB,Take Me to Your Heaven,0,spotify:track:4omWhsNIPxarzpBgMsWBmB,0.517,0.927,4,-2.134,1,0.0428,0.319,0.0,0.187,0.402,144.167,audio_features,https://api.spotify.com/v1/audio-analysis/4omWhsNIPxarzpBgMsWBmB,183773,4
Jill Johnson,3JhvBSXoWXJnKGzCmPlaxV,Kärleken är,40,spotify:track:3JhvBSXoWXJnKGzCmPlaxV,0.533,0.617,4,-4.169,1,0.026,0.472,9.38e-05,0.0883,0.242,143.962,audio_features,https://api.spotify.com/v1/audio-analysis/3JhvBSXoWXJnKGzCmPlaxV,187933,4
Blond,5dEHUYf0NkT1pZeEJOCMsW,Bara Hon Älskar Mig,40,spotify:track:5dEHUYf0NkT1pZeEJOCMsW,0.639,0.806,2,-7.007,1,0.0359,0.171,0.0,0.362,0.763,142.055,audio_features,https://api.spotify.com/v1/audio-analysis/5dEHUYf0NkT1pZeEJOCMsW,183467,4
One More Time,0TYwFP4MxszHAXAJMYhi3E,Den Vilda,45,spotify:track:0TYwFP4MxszHAXAJMYhi3E,0.377,0.438,0,-9.703,1,0.0283,0.785,0.0,0.111,0.14,80.686,audio_features,https://api.spotify.com/v1/audio-analysis/0TYwFP4MxszHAXAJMYhi3E,189800,3
Jan Johansen,5E0DPn2m1oAigfof05lKmJ,Se på mig,49,spotify:track:5E0DPn2m1oAigfof05lKmJ,0.689,0.506,4,-11.598,1,0.0276,0.271,0.00013,0.0959,0.743,133.657,audio_features,https://api.spotify.com/v1/audio-analysis/5E0DPn2m1oAigfof05lKmJ,187027,4
Roger Pontare & Marie Bergman,2EhLXnoBFOEYb0SmDbSg3x,Stjärnorna,0,spotify:track:2EhLXnoBFOEYb0SmDbSg3x,0.414,0.608,7,-6.013,1,0.0287,0.363,0.0,0.116,0.28,145.106,audio_features,https://api.spotify.com/v1/audio-analysis/2EhLXnoBFOEYb0SmDbSg3x,194013,4
Arvingarna,3vnCcMMRyzEXp146b1fbfF,Eloise,0,spotify:track:3vnCcMMRyzEXp146b1fbfF,0.686,0.78,4,-1.84,0,0.0267,0.272,0.0,0.264,0.484,132.392,audio_features,https://api.spotify.com/v1/audio-analysis/3vnCcMMRyzEXp146b1fbfF,189080,4
Christer Björkman,7DqyeESnaKCwDjgmA45UFZ,I morgon är en annan dag,41,spotify:track:7DqyeESnaKCwDjgmA45UFZ,0.585,0.47,9,-10.569,1,0.0271,0.645,0.0,0.135,0.369,84.089,audio_features,https://api.spotify.com/v1/audio-analysis/7DqyeESnaKCwDjgmA45UFZ,190000,4
Carola,5I6eq9wK0SOkeUWEPHqD39,Fångad av en stormvind - Swedish Version,0,spotify:track:5I6eq9wK0SOkeUWEPHqD39,0.646,0.828,8,-8.342,1,0.038,0.589,0.0,0.0613,0.539,93.185,audio_features,https://api.spotify.com/v1/audio-analysis/5I6eq9wK0SOkeUWEPHqD39,181227,4
Edin-Ådahl,4WDLOXcNwB55gSz2pV43UD,Like a Wind,7,spotify:track:4WDLOXcNwB55gSz2pV43UD,0.543,0.401,9,-12.126,1,0.023,0.511,0.0,0.348,0.505,82.867,audio_features,https://api.spotify.com/v1/audio-analysis/4WDLOXcNwB55gSz2pV43UD,179133,4
Tommy Nilsson,4y81ov9ojdBPu5eLhDKxS9,En dag,46,spotify:track:4y81ov9ojdBPu5eLhDKxS9,0.593,0.833,1,-5.826,1,0.0392,0.117,3.79e-06,0.123,0.622,94.922,audio_features,https://api.spotify.com/v1/audio-analysis/4y81ov9ojdBPu5eLhDKxS9,198707,4
Tommy Körberg,7bVwUOySQGO2afJ0LArAMi,Stad i ljus,55,spotify:track:7bVwUOySQGO2afJ0LArAMi,0.375,0.425,7,-9.438,1,0.0294,0.687,0.00023,0.248,0.186,143.169,audio_features,https://api.spotify.com/v1/audio-analysis/7bVwUOySQGO2afJ0LArAMi,188293,4
